Molecule,snapshot,calculation,charge,spin,method,basis set,solvation (dielectric),output file,input file
FeAB,01,FeAB cc C-fac OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_ccL_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FeABO_ccL_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FeAB,01,FeAB cc C-fac TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_ccL_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100.out,C_FeABO_ccL_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100.in
FeAB,02,FeAB cc N-fac OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_N_ccL_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt_5.out,C_FeABO_N_ccL_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt_5.in
FeAB,02,FeAB cc N-fac TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_N_ccL_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100_2.out,C_FeABO_N_ccL_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100_2.in
FeAB,03,FeAB ct C-mer OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_ctL_C_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.out,C_FeABO_ctL_C_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.in
FeAB,03,FeAB ct C-mer TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_ctL_C_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100.out,C_FeABO_ctL_C_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100.in
FeAB,04,FeAB ct N-mer OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_ctL_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.out,C_FeABO_ctL_3sextet_SfS_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.in
FeAB,04,FeAB ct N-mer TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FeABO_ctL_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100.out,C_FeABO_ctL_3sextet_SfS_camb3lyp_augccpDVZ_pcmH2O_tddft100.in
FeAB* enol,09,FeAB* enol cc C-fac OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar2_enol_ccL_2sextet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.out,C_FeABstar2_enol_ccL_2sextet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.in
FeAB* enol,09,FeAB* enol cc C-fac TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar2_enol_ccL_2sextet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.out,C_FeABstar2_enol_ccL_2sextet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.in
FeAB* enol,10,FeAB* enol cc N-fac OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar_enol_ccL_2sextet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FeABstar_enol_ccL_2sextet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FeAB* enol,10,FeAB* enol cc N-fac TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar_enol_ccL_2sextet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.out,C_FeABstar_enol_ccL_2sextet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.in
FeAB* enol,11,FeAB* enol cc C-mer OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar_enol_ctL_C_3sextet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FeABstar_enol_ctL_C_3sextet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
