state,E_ex,osc,nm
1,2.1219,0.0281,584.3074273
2,2.1856,0.027,567.2776034
3,2.251,0.0427,550.7960595
4,2.2698,0.0052,546.2339986
5,2.2908,0.0846,541.2266152
6,2.5644,0.0098,483.4822688
7,2.9741,0.0131,416.8797048
8,2.993,0.0013,414.2472202
9,3.2483,0.0063,381.6894776
10,3.3964,0.0016,365.0459104
11,3.4208,0.0011,362.4420983
12,3.4385,0.0069,360.5763938
13,3.5134,0.0082,352.8894888
14,3.5312,0.0023,351.1106508
15,3.5767,0.0026,346.6440937
16,3.685,0.0194,336.4564261
17,3.7123,0.007,333.9821485
18,3.7346,0.0004,331.9878782
19,3.8365,0.0634,323.1700586
20,3.8973,0.0247,318.1284299
21,3.9901,0.0032,310.7295381
22,4.0419,0.0024,306.7473045
23,4.0542,0.0103,305.8166667
24,4.0788,0.037,303.9722296
25,4.1073,0.0248,301.8630073
26,4.126,0.0004,300.4948934
27,4.149,0.0164,298.8290986
28,4.1588,0.0766,298.1249231
29,4.1823,0.4484,296.4497836
30,4.2366,0.0118,292.6502219
31,4.2525,0.0169,291.5560094
32,4.2856,0.061,289.3041651
33,4.3163,0.0287,287.246468
34,4.3232,0.0024,286.7880112
35,4.3507,0.0003,284.9752752
36,4.403,0.0239,281.5902635
37,4.4736,0.0069,277.1463542
38,4.4904,0.0086,276.1094624
39,4.5156,0.0095,274.5685911
40,4.5266,0.002,273.9013675
41,4.5331,0.0077,273.508621
42,4.5774,0.0042,270.8616092
43,4.5848,0.0112,270.4244307
44,4.5892,0.0018,270.1651551
45,4.6048,0.0319,269.2498979
46,4.6161,0.0081,268.5907866
47,4.6432,0.0044,267.0231586
48,4.6731,0.0045,265.3146584
49,4.7682,0.0184,260.0230548
50,4.7777,0.0166,259.5060238
51,4.7823,0.0387,259.2564101
52,4.7951,0.0611,258.5643532
53,4.8345,0.0022,256.4571166
54,4.8351,0.0041,256.4252921
55,4.857,0.0002,255.2690817
56,4.8798,0.0679,254.0763822
57,4.9388,0.0007,251.0411294
58,4.9637,0.0013,249.7818019
59,4.9788,0.0008,249.0242488
60,4.9948,0.0005,248.2265416
61,5.0297,0.0009,246.5041513
62,5.0325,0.0038,246.3670005
63,5.0598,0.01,245.0377347
64,5.0622,0.0035,244.9215618
65,5.0755,0.0026,244.2797616
66,5.1001,0.08,243.1014941
67,5.1174,0.1057,242.2796596
68,5.1459,0.0001,240.9378204
69,5.1496,0.0442,240.764706
70,5.1639,0.0005,240.0979744
71,5.1752,0.032,239.5737228
72,5.1863,0.0044,239.0609741
73,5.1943,0.0262,238.6927844
74,5.1969,0.0051,238.5733668
75,5.2069,0.0019,238.1151799
76,5.2156,0.0024,237.7179864
77,5.2213,0.0025,237.4584739
78,5.2267,0.0341,237.2131421
79,5.2335,0.0044,236.904926
80,5.2501,0.0063,236.1558694
81,5.2709,0.0284,235.2239523
82,5.278,0.0344,234.9075275
83,5.2809,0.0039,234.7785283
84,5.2852,0.0379,234.5875142
85,5.3049,0.0218,233.7163622
86,5.3174,0.0115,233.1669481
87,5.332,0.0016,232.528494
88,5.338,0.0635,232.2671281
89,5.3391,0.0569,232.2192748
90,5.3505,0.1958,231.7244986
91,5.3808,0.4466,230.4196272
92,5.3939,0.109,229.8600141
93,5.4083,0.0688,229.2479947
94,5.4365,0.1152,228.0588485
95,5.458,0.0205,227.1604855
96,5.468,0.0003,226.7450494
97,5.4844,0.0103,226.0670137
98,5.5026,0.0231,225.3192909
99,5.5119,0.0123,224.939119
100,5.5263,0.0379,224.3529902
